codigo_ocorrencia,codigo_ocorrencia2,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes
52992,52992,INCIDENTE GRAVE,SALVADOR,BA,SBSV,2015-01-01,11:40:00,3
52979,52979,ACIDENTE,IVINHEMA,MS,Unkown,2015-01-02,14:50:00,0
53073,53073,INCIDENTE,TEFÉ,AM,SBTF,2015-01-02,16:28:00,0
53074,53074,INCIDENTE,BELO HORIZONTE,MG,SBBH,2015-01-02,20:34:00,0
52976,52976,ACIDENTE,TOLEDO,PR,SBTD,2015-01-04,22:04:00,6
53075,53075,INCIDENTE,JUNDIAÍ,SP,SBJD,2015-01-05,10:19:00,0
53076,53076,INCIDENTE,BRAGANÇA PAULISTA,SP,Unkown,2015-01-06,11:30:00,0
53077,53077,INCIDENTE,MANAUS,AM,SBEG,2015-01-06,15:50:00,0
52975,52975,ACIDENTE,BRASNORTE,MT,Unkown,2015-01-08,20:30:00,0
53072,53072,INCIDENTE,BELO HORIZONTE,MG,SBBH,2015-01-08,21:13:00,0
52994,52994,INCIDENTE,SÃO PAULO,SP,SBMT,2015-01-09,23:25:00,0
52980,52980,ACIDENTE,SANTA MÔNICA,PR,Unkown,2015-01-10,22:00:00,2
52981,52981,ACIDENTE,LUZIÂNIA,GO,Unkown,2015-01-10,21:04:00,0
53078,53078,INCIDENTE,BELÉM,PA,SBBE,2015-01-10,16:00:00,0
53064,53064,INCIDENTE,BAURU,SP,SBBU,2015-01-11,22:05:00,0
53122,53122,INCIDENTE,BRASÍLIA,DF,SBBR,2015-01-11,00:07:00,0
53063,53063,INCIDENTE,LONDRINA,PR,SBLO,2015-01-12,09:15:00,0
52978,52978,ACIDENTE,BAIXA GRANDE DO RIBEIRO,PI,Unkown,2015-01-14,10:50:00,1
53070,53070,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,2015-01-15,21:00:00,0
53071,53071,INCIDENTE,BELO HORIZONTE,MG,SBBH,2015-01-15,18:52:00,0
53061,53061,INCIDENTE,JUNDIAÍ,SP,SBJD,2015-01-17,18:40:00,0
53062,53062,INCIDENTE,JUNDIAÍ,SP,SBJD,2015-01-17,17:05:00,0
53069,53069,INCIDENTE,SALVADOR,BA,SBSV,2015-01-18,17:50:00,0
52970,52970,ACIDENTE,TIRADENTES,MG,Unkown,2015-01-19,18:08:00,0
52977,52977,ACIDENTE,SÃO BORJA,RS,Unkown,2015-01-19,12:15:00,0
53067,53067,INCIDENTE,CAMPINAS,SP,SBKP,2015-01-19,13:30:00,0
53068,53068,INCIDENTE,CANOAS,RS,SBPA,2015-01-19,12:50:00,0
53065,53065,INCIDENTE,COARI,AM,SWKO,2015-01-20,17:05:00,0
52991,52991,INCIDENTE GRAVE,PASSO FUNDO,RS,SBPF,2015-01-21,12:00:00,0
53012,53012,INCIDENTE,GOIÂNIA,GO,SBGO,2015-01-21,17:36:00,0
53066,53066,INCIDENTE,CURITIBA,PR,SBCT,2015-01-21,20:21:00,0
53080,53080,INCIDENTE,RIO CLARO,SP,SDRK,2015-01-22,18:00:00,0
52990,52990,INCIDENTE GRAVE,FLORIANÓPOLIS,SC,SBFL,2015-01-23,16:28:00,0
53008,53008,INCIDENTE,GOIÂNIA,GO,SBGO,2015-01-23,18:39:00,0
52971,52971,ACIDENTE,JABOTICABAL,SP,SDJC,2015-01-24,20:00:00,0
52987,52987,ACIDENTE,ITU,SP,Unkown,2015-01-24,14:00:00,0
52989,52989,INCIDENTE GRAVE,CONCEIÇÃO DA FEIRA,BA,Unkown,2015-01-26,18:15:00,0
52993,52993,INCIDENTE GRAVE,CAMPOS DOS GOYTACAZES,RJ,SBFS,2015-01-27,12:25:00,0
52983,52983,ACIDENTE,MOSTARDAS,RS,Unkown,2015-01-28,10:30:00,0
52982,52982,ACIDENTE,BOA VISTA,RR,Unkown,2015-01-29,20:30:00,0
53081,53081,INCIDENTE,BELO HORIZONTE,MG,SBBH,2015-01-29,21:26:00,0
52998,52998,INCIDENTE,ILHÉUS,BA,SBIL,2015-01-30,19:20:00,0
53007,53007,INCIDENTE,UBERLÂNDIA,MG,SBUL,2015-01-30,09:39:00,0
53079,53079,INCIDENTE,SÃO LUÍS,MA,SBSL,2015-01-31,17:55:00,0
52984,52984,ACIDENTE,NOVA LIMA,MG,SJLY,2015-02-01,15:10:00,0
53082,53082,INCIDENTE,SÃO PAULO,SP,Unkown,2015-02-01,12:15:00,0
52974,52974,ACIDENTE,PRESIDENTE OLEGÁRIO,MG,Unkown,2015-02-02,19:50:00,0
53006,53006,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,2015-02-02,10:30:00,0
52988,52988,ACIDENTE,JOINVILLE,SC,SBJV,2015-02-03,17:45:00,1
52999,52999,INCIDENTE,ILHÉUS,BA,SBIL,2015-02-03,14:55:00,0
53105,53105,INCIDENTE GRAVE,SÃO MIGUEL DO IGUAÇU,PR,Unkown,2015-02-03,20:00:00,0
53309,53309,INCIDENTE GRAVE,ASSIS CHATEAUBRIAND,PR,Unkown,2015-02-04,19:50:00,0
53111,53111,ACIDENTE,TAPIRA,PR,Unkown,2015-02-05,10:40:00,1
53226,53226,INCIDENTE,MARABÁ,PA,SBMA,2015-02-05,17:55:00,0
53003,53003,INCIDENTE,CUIABÁ,MT,SBCY,2015-02-06,11:50:00,0
