ocorrencia_cidade,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,ocorrencia_classificacao
SÃO PAULO,Unkown,2010-01-15,15:00:00,INCIDENTE
SANTOS,Unkown,2010-01-15,17:45:00,INCIDENTE
SOROCABA,Unkown,2010-01-20,13:10:00,INCIDENTE
CAMPINAS,Unkown,2010-01-21,20:45:00,INCIDENTE
GUARULHOS,SBGR,2010-01-25,17:05:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2010-02-07,22:59:00,INCIDENTE
CAMPINAS,Unkown,2010-02-08,12:33:00,INCIDENTE
SÃO PAULO,Unkown,2010-02-18,10:10:00,INCIDENTE
CAMPINAS,Unkown,2010-02-28,09:00:00,INCIDENTE
SÃO PAULO,Unkown,2010-03-04,23:50:00,INCIDENTE
GUARULHOS,SBGR,2010-03-08,00:49:00,INCIDENTE
GUARULHOS,SBGR,2010-03-11,03:00:00,INCIDENTE
GUARULHOS,SBGR,2010-03-15,09:57:00,INCIDENTE
SÃO PAULO,SBSP,2010-03-18,12:10:00,INCIDENTE
GUARULHOS,SBGR,2010-03-18,03:00:00,INCIDENTE
GUARULHOS,SBGR,2010-03-25,03:00:00,INCIDENTE
PENÁPOLIS,Unkown,2010-03-30,20:45:00,INCIDENTE
CAMPINAS,SBKP,2010-04-08,20:30:00,INCIDENTE
AREALVA,Unkown,2010-04-12,14:03:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2010-04-12,17:17:00,INCIDENTE
MARÍLIA,SBML,2010-04-12,13:00:00,INCIDENTE
SÃO PAULO,SBSP,2010-04-14,01:42:00,INCIDENTE
PIRASSUNUNGA,SDPY,2010-04-15,20:15:00,INCIDENTE GRAVE
SÃO PAULO,Unkown,2010-04-15,20:20:00,INCIDENTE
CAMPINAS,Unkown,2010-04-21,17:01:00,INCIDENTE
SÃO PAULO,Unkown,2010-05-04,18:00:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2010-05-04,13:19:00,INCIDENTE
GUARULHOS,SBGR,2010-05-06,15:50:00,INCIDENTE GRAVE
SÃO PAULO,SBSP,2010-05-12,19:52:00,INCIDENTE
MARÍLIA,SBML,2010-05-14,18:25:00,INCIDENTE
SÃO PAULO,Unkown,2010-05-20,03:00:00,INCIDENTE
CAMPINAS,SDAM,2010-05-21,15:40:00,INCIDENTE
CAMPINAS,Unkown,2010-06-03,13:00:00,INCIDENTE
GUARULHOS,SBGR,2010-06-04,01:05:00,INCIDENTE
GUARULHOS,SBGR,2010-06-05,19:12:00,INCIDENTE
SÃO PAULO,SBMT,2010-06-08,19:30:00,INCIDENTE GRAVE
CAMPINAS,SBKP,2010-06-13,12:45:00,INCIDENTE
SÃO PAULO,Unkown,2010-06-15,00:38:00,INCIDENTE
SÃO PAULO,Unkown,2010-06-17,22:30:00,INCIDENTE
SÃO PAULO,SBMT,2010-06-20,17:40:00,INCIDENTE
GUARULHOS,SBGR,2010-06-25,21:30:00,INCIDENTE
RIBEIRÃO PRETO,Unkown,2010-06-27,12:30:00,INCIDENTE
CAMPINAS,SBKP,2010-06-30,19:37:00,INCIDENTE
GUARULHOS,SBGR,2010-07-02,13:30:00,INCIDENTE
MARÍLIA,SBML,2010-07-07,18:07:00,INCIDENTE
SÃO PAULO,SBMT,2010-07-29,20:06:00,INCIDENTE GRAVE
SÃO PAULO,SBMT,2010-07-30,12:30:00,INCIDENTE
BAURU,SBAE,2010-08-02,11:04:00,INCIDENTE
SÃO JOSÉ DO RIO PRETO,SBSR,2010-08-05,12:01:00,INCIDENTE GRAVE
SÃO PAULO,Unkown,2010-08-19,17:00:00,INCIDENTE
SÃO JOSÉ DOS CAMPOS,SBSJ,2010-08-20,13:18:00,INCIDENTE
AREALVA,Unkown,2010-08-23,15:15:00,INCIDENTE
CAMPINAS,SBKP,2010-08-25,02:11:00,INCIDENTE
SÃO PAULO,Unkown,2010-08-26,11:05:00,INCIDENTE
CAMPINAS,SBKP,2010-08-31,22:24:00,INCIDENTE
GUARULHOS,SBGR,2010-09-03,16:14:00,INCIDENTE
SÃO PAULO,SBMT,2010-09-04,13:00:00,INCIDENTE
PIRACICABA,SDPW,2010-09-10,11:10:00,INCIDENTE GRAVE
SÃO PAULO,SBSP,2010-09-13,19:05:00,INCIDENTE GRAVE
GUARULHOS,SBGR,2010-09-19,17:30:00,INCIDENTE
GUARULHOS,SBGR,2010-09-26,22:32:00,INCIDENTE
SÃO PAULO,SBMT,2010-09-27,19:50:00,INCIDENTE
BEBEDOURO,Unkown,2010-10-05,16:00:00,INCIDENTE
GUARULHOS,Unkown,2010-10-05,23:45:00,INCIDENTE
